"File","Size Before (KB)","Size After (KB)","Reduction (KB)","Reduction (%)"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/001_vs2019_sln_all_projects.png.webp","70,7","70,7","0","0"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/002_vs2019_sln_unload_projects.png","60,83","61,04","-0,21","-0,35"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/002_vs2019_sln_unload_projects.png.webp","116,34","116,34","0","0"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/003_vs2019_sln_save_filter_001.png","74,8","82,62","-7,82","-10,45"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/003_vs2019_sln_save_filter_001.png.webp","144,04","144,04","0","0"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/004_vs2019_sln_reload_project_dependencies.png","47,1","54,22","-7,12","-15,12"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/004_vs2019_sln_reload_project_dependencies.png.webp","106,46","106,46","0","0"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/005_vs2019_sln_save_filter_002.png","75","82,64","-7,64","-10,19"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/005_vs2019_sln_save_filter_002.png.webp","145,71","145,71","0","0"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/006_vs2019_sln_save_filter_003.png","72,98","73,94","-0,96","-1,32"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/006_vs2019_sln_save_filter_003.png.webp","140,38","140,38","0","0"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/007_vs2019_slnf_project_overview.png","47,39","49,68","-2,29","-4,83"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/007_vs2019_slnf_project_overview.png.webp","181,07","181,07","0","0"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/008_vs2019_slnf_add_existing_project.png","61,85","64,73","-2,88","-4,66"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/008_vs2019_slnf_add_existing_project.png.webp","103,48","103,48","0","0"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/009_vs2019_slnf_update_solution_filter.png","28,07","28","0,07","0,25"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/009_vs2019_slnf_update_solution_filter.png.webp","67,73","67,73","0","0"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/cover_image.png","13,54","13,27","0,27","1,99"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/cover_image.png.webp","15,8","15,8","0","0"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/xkcd_joke_compiling.png","17,53","16,22","1,31","7,47"
"/dist/assets/images/posts/20210717/decreasing-solution-build-time-with-filters/xkcd_joke_compiling.png.webp","19,41","19,41","0","0"
"/dist/assets/images/posts/20240209/reqnroll/cover_image.png","15,24","15,24","0","0"
"/dist/assets/images/posts/20240209/reqnroll/cover_image.png.webp","20,77","20,77","0","0"
"/dist/assets/images/posts/20240209/reqnroll/ilionx_devdays_2023_specflow.jpeg","798,78","798,78","0","0"
"/dist/assets/images/posts/20240209/reqnroll/ilionx_devdays_2023_specflow.jpeg.webp","352,24","352,24","0","0"
"/dist/assets/images/posts/20210523/generate-csharp-client-for-openapi/cover_image.png","41,89","41,89","0","0"
"/dist/assets/images/posts/20210523/generate-csharp-client-for-openapi/cover_image.png.webp","45,85","45,85","0","0"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/001_NoLogger.png","26,36","24,56","1,8","6,83"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/001_NoLogger.png.webp","41,5","41,5","0","0"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/002_ConsoleLogger.png","43,92","42,59","1,33","3,03"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/002_ConsoleLogger.png.webp","64,03","64,03","0","0"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/003_NullLogger.png","18,8","18,76","0,04","0,21"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/003_NullLogger.png.webp","28,54","28,54","0","0"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/004_MockLogger.png","21,05","19,71","1,34","6,37"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/004_MockLogger.png.webp","30,59","30,59","0","0"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/005_XunitLogger.png","41,42","39,31","2,11","5,09"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/005_XunitLogger.png.webp","62,56","62,56","0","0"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/cover_image.png","28,82","26,94","1,88","6,52"
"/dist/assets/images/posts/20211114/capture-logs-in-unit-tests/cover_image.png.webp","32","32","0","0"
"/dist/assets/images/posts/20220607/launch-settings/cover_image.png","17,93","17,93","0","0"
"/dist/assets/images/posts/20220607/launch-settings/cover_image.png.webp","23,45","23,45","0","0"
"/dist/assets/images/posts/20220607/launch-settings/rider_compound_configuration.png","63,93","53,65","10,28","16,08"
"/dist/assets/images/posts/20220607/launch-settings/rider_compound_configuration.png.webp","52,77","52,77","0","0"
"/dist/assets/images/posts/20220607/launch-settings/rider_launchprofiles.png","17,05","18,46","-1,41","-8,27"
"/dist/assets/images/posts/20220607/launch-settings/rider_launchprofiles.png.webp","21,54","21,54","0","0"
"/dist/assets/images/posts/20220607/launch-settings/visualstudio_api_launchprofile.png","27,81","27,84","-0,03","-0,11"
"/dist/assets/images/posts/20220607/launch-settings/visualstudio_api_launchprofile.png.webp","28,62","28,62","0","0"
"/dist/assets/images/posts/20220607/launch-settings/visualstudio_compound_configuration.png","11,22","12,19","-0,97","-8,65"
"/dist/assets/images/posts/20220607/launch-settings/visualstudio_compound_configuration.png.webp","17,4","17,4","0","0"
"/dist/assets/images/posts/20220607/launch-settings/visualstudio_console_launchprofile.png","19,99","20,95","-0,96","-4,8"
"/dist/assets/images/posts/20220607/launch-settings/visualstudio_console_launchprofile.png.webp","21,5","21,5","0","0"
"/dist/assets/images/posts/20220607/launch-settings/vscode_launchprofiles.png","8,5","8,67","-0,17","-2"
"/dist/assets/images/posts/20220607/launch-settings/vscode_launchprofiles.png.webp","7,23","7,23","0","0"
"/dist/assets/images/posts/20200801/welcome/cover_alt.png","786,21","693,58","92,63","11,78"
"/dist/assets/images/posts/20200801/welcome/cover_alt.png.webp","382,93","382,93","0","0"
"/dist/assets/images/posts/20200801/welcome/cover_image.png","13,37","13,32","0,05","0,37"
"/dist/assets/images/posts/20200801/welcome/cover_image.png.webp","13,22","13,22","0","0"
